1576166348,2243128.099
1576166368,2485480.166
1576166386,2582468.037
1576166403,2523516.078
1576166421,2533811.571
1576166438,2482238.763
1576166456,2500934.976
1576166474,2514085.452
1576166492,2543451.787
1576166509,2544090.532
1576166527,2575352.068
1576166544,2553319.643
1576166562,2490886.323
1576166579,2499491.146
1576166597,2519565.729
1576166615,2482110.006
1576166633,2514582.393
1576166650,2505126.913
1576166668,2521409.008
1576166686,2497145.604
1576166703,2488325.924
1576166721,2492880.264
1576166739,2477302.901
1576166757,2505761.034
1576166775,2424772.145
1576166793,2388437.18
1576166812,2484098.254
1576166830,2444118.139
1576166848,2475947.061
1576166866,2427657.346
1576166884,2455667.383
1576166902,2423417.354
1576166921,2375920.614
1576166939,2514604.785
1576166957,2500713.356
1576166975,2479497.709
1576166993,2527447.283
1576167010,2501900.304
1576167028,2575670.729
1576167045,2487362.824
1576167063,2513185.156
1576167081,2398956.344
1576167099,2535975.09
1576167117,2506240.055
1576167135,2471469.126
1576167153,2487921.934
1576167170,2527473.923
1576167188,2499413.569
